,user.index,sugg.decision.utime,sugg.response.utime,sugg.device.since,interaction.count,send.active,send.sedentary,recognized.activity,tag.active,tag.indoor,tag.outdoor,tag.outdoor_snow,front.end.application,response,dec.location.category,dec.weather.condition,dec.temperature,dec.windspeed,dec.precipitation.chance,dec.snow,jbmins30,jbsteps30,jbmins60,jbsteps60,jbmins120,jbsteps120,Time of Day
0,1,2015-07-22 16:31:53,2015-07-22 16:56:35,1.25055555555556,0.0,False,True,STILL,False,True,True,False,OFF,good,"restaurant,meal_takeaway,food,point_of_interest,establishment",Partly Cloudy,23.3,3.0,0.0,0.0,17.0,1311.0,19.0,1413.0,33.0,2035.0,16:31:53
1,1,2015-07-22 18:32:10,2015-07-22 18:32:38,0.101666666666667,0.0,True,False,STILL,True,False,True,False,OFF,good,work,Partly Cloudy,24.4,1.6,0.0,0.0,5.0,414.0,5.0,414.0,16.0,1085.0,18:32:10
3,1,2015-07-22 23:31:50,Unknown,0.103055555555556,-1.0,False,True,STILL,False,True,True,True,OFF,No Response,home,Partly Cloudy,25.7,0.0,0.0,0.0,7.0,369.0,14.0,715.0,35.0,1480.0,23:31:50
5,1,2015-07-23 16:33:51,2015-07-23 16:34:29,0.488888888888889,0.0,False,True,STILL,False,True,True,False,OFF,bad,home,Partly Cloudy,26.6,0.0,0.0,0.0,16.0,893.0,27.0,1318.0,50.0,2283.0,16:33:51
6,1,2015-07-23 18:31:07,2015-07-23 18:32:45,0.428888888888889,0.0,True,False,STILL,True,False,True,False,OFF,good,home,Partly Cloudy,27.5,0.0,0.0,0.0,19.0,589.0,24.0,872.0,76.0,5757.0,18:31:07
7,1,2015-07-23 21:31:16,2015-07-23 21:42:32,0.538888888888889,0.0,True,False,STILL,True,False,True,False,OFF,bad,home,Partly Cloudy,32.7,4.7,0.0,0.0,14.0,899.0,23.0,1297.0,26.0,1365.0,21:31:16
10,1,2015-07-24 16:31:31,2015-07-24 16:33:50,0.639166666666667,1.0,False,True,STILL,False,True,True,False,OFF,good,home,Clear,28.9,3.6,0.0,0.0,9.0,279.0,26.0,1119.0,46.0,1814.0,16:31:31
11,1,2015-07-24 18:31:58,2015-07-24 18:32:21,0.606666666666667,0.0,False,True,STILL,False,True,True,False,OFF,good,home,Clear,30.2,2.7,0.0,0.0,13.0,415.0,22.0,707.0,67.0,4196.0,18:31:58
12,1,2015-07-24 21:31:41,2015-07-24 22:01:43,0.669166666666667,1.0,True,False,STILL,True,True,True,False,OFF,no_response,home,Clear,30.7,6.0,0.0,0.0,15.0,1310.0,18.0,1404.0,47.0,3510.0,21:31:41
14,1,2015-07-25 09:35:29,2015-07-25 09:52:42,4.71888888888889,2.0,True,False,STILL,True,True,True,False,OFF,bad,home,Clear,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,09:35:29
15,1,2015-07-25 16:31:00,2015-07-25 16:47:18,0.125833333333333,3.0,True,False,STILL,True,False,True,False,OFF,good,"gas_station,convenience_store,food,store,point_of_interest,establishment",Partly Cloudy,28.1,3.7,15.0,0.0,3.0,82.0,12.0,357.0,31.0,1743.0,16:31:00
16,1,2015-07-25 18:31:52,2015-07-25 19:01:57,0.250833333333333,1.0,True,False,UNKNOWN,True,True,True,True,OFF,no_response,"jewelry_store,store,point_of_interest,establishment",Partly Cloudy,30.1,3.2,35.0,0.0,16.0,585.0,32.0,1820.0,53.0,2733.0,18:31:52
19,1,2015-07-26 09:32:56,2015-07-26 09:48:17,10.8319444444444,1.0,True,False,STILL,True,True,True,False,OFF,bad,home,Partly Cloudy,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09:32:56
20,1,2015-07-26 16:31:30,2015-07-26 16:47:23,0.960277777777778,0.0,True,False,STILL,True,True,False,False,OFF,bad,home,Clear,33.0,2.2,0.0,0.0,17.0,1147.0,40.0,2308.0,80.0,4631.0,16:31:30
21,1,2015-07-26 18:32:18,2015-07-26 19:02:33,1.44777777777778,0.0,False,True,STILL,False,True,True,False,OFF,no_response,home,Clear,29.5,1.3,0.0,0.0,21.0,1188.0,50.0,3245.0,73.0,4073.0,18:32:18
22,1,2015-07-26 21:33:14,2015-07-26 21:35:00,4.46333333333333,0.0,True,False,STILL,True,False,True,False,OFF,good,home,Partly Cloudy,29.6,0.0,0.0,0.0,6.0,204.0,15.0,497.0,29.0,904.0,21:33:14
26,1,2015-07-27 18:31:56,2015-07-27 18:35:36,1.71805555555556,0.0,False,True,STILL,False,True,True,False,OFF,good,work,Clear,29.9,0.0,0.0,0.0,20.0,2240.0,30.0,2830.0,48.0,4126.0,18:31:56
29,1,2015-07-28 09:31:40,2015-07-28 09:32:27,7.07611111111111,0.0,False,True,STILL,False,True,True,False,OFF,bad,home,Partly Cloudy,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,832.0,09:31:40
30,1,2015-07-28 16:31:37,2015-07-28 16:32:05,0.493888888888889,0.0,True,False,STILL,True,False,True,False,OFF,good,work,Clear,29.6,5.0,0.0,0.0,6.0,284.0,14.0,904.0,21.0,1166.0,16:31:37
31,1,2015-07-28 18:32:01,2015-07-28 18:37:03,2.0,0.0,True,False,STILL,True,True,True,False,OFF,good,work,Clear,31.0,1.0,0.0,0.0,29.0,2939.0,33.0,3103.0,44.0,3757.0,18:32:01
32,1,2015-07-28 21:31:25,2015-07-28 22:01:42,0.103611111111111,0.0,False,True,STILL,False,True,True,False,OFF,no_response,home,Partly Cloudy,30.6,2.5,0.0,0.0,7.0,207.0,23.0,1228.0,82.0,6300.0,21:31:25
35,1,2015-07-29 16:31:31,2015-07-29 16:31:46,0.489444444444444,0.0,False,True,STILL,False,True,True,False,OFF,good,work,Clear,30.6,2.0,35.0,0.0,19.0,1899.0,30.0,2894.0,33.0,3142.0,16:31:31
36,1,2015-07-29 18:33:15,2015-07-29 18:33:26,0.340833333333333,0.0,False,True,STILL,False,True,True,False,OFF,good,work,Mostly Cloudy,31.8,6.9,58.0,0.0,0.0,0.0,3.0,168.0,10.0,633.0,18:33:15
37,1,2015-07-29 21:31:39,2015-07-29 21:32:00,0.0169444444444444,0.0,False,True,STILL,False,True,True,False,OFF,good,home,Overcast,28.8,4.7,15.0,0.0,5.0,146.0,18.0,908.0,65.0,2982.0,21:31:39
40,1,2015-07-30 16:32:07,2015-07-30 16:33:09,0.376305555568801,0.0,True,False,STILL,True,True,True,False,OFF,good,work,Clear,26.8,5.0,0.0,0.0,1.0,24.0,3.0,114.0,34.0,2968.0,16:32:07
41,1,2015-07-30 18:31:45,2015-07-30 18:36:01,0.0408333333333333,0.0,False,True,STILL,False,True,True,False,OFF,good,work,Clear,28.0,4.0,0.0,0.0,2.0,176.0,6.0,432.0,19.0,1195.0,18:31:45
42,1,2015-07-30 21:31:04,2015-07-30 21:40:43,0.0686111111111111,0.0,False,True,STILL,False,True,True,False,OFF,bad,"bar,restaurant,food,point_of_interest,establishment",Clear,30.6,6.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,215.0,21:31:04
43,1,2015-07-30 23:31:59,2015-07-31 00:02:58,1.85444444444444,0.0,False,True,STILL,False,True,True,False,OFF,no_response,home,Clear,28.4,3.7,0.0,0.0,0.0,0.0,4.0,125.0,15.0,618.0,23:31:59
44,1,2015-07-31 10:31:46,2015-07-31 10:32:06,0.0019444444444444,0.0,True,False,STILL,True,False,True,False,com.google.android.apps.messaging,good,home,Clear,16.3,1.1,0.0,0.0,1.0,62.0,16.0,848.0,36.0,1882.0,10:31:46
46,1,2015-07-31 18:33:26,2015-07-31 19:03:27,1.28194444444444,0.0,True,False,STILL,True,True,True,False,OFF,no_response,home,Mostly Cloudy,28.3,1.7,15.0,0.0,23.0,1261.0,44.0,2676.0,104.0,7397.0,18:33:26
48,1,2015-07-31 23:31:57,2015-08-01 00:02:08,0.2325,0.0,True,False,STILL,True,True,True,False,OFF,no_response,home,Clear,27.7,6.8,15.0,0.0,30.0,3066.0,45.0,4314.0,64.0,5165.0,23:31:57
49,1,2015-08-01 10:33:18,2015-08-01 10:35:04,8.815,0.0,True,False,STILL,True,False,True,False,OFF,bad,home,Clear,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,10:33:18
50,1,2015-08-01 16:31:46,Unknown,0.105277777777778,-1.0,True,False,STILL,True,True,True,False,OFF,No Response,home,Clear,28.5,4.2,0.0,0.0,4.0,183.0,4.0,183.0,22.0,1064.0,16:31:46
52,1,2015-08-01 21:31:56,2015-08-01 22:02:24,4.91972222222222,0.0,True,False,STILL,True,True,True,False,OFF,no_response,"store,point_of_interest,establishment",Clear,28.1,3.8,15.0,0.0,14.0,532.0,31.0,1204.0,38.0,1591.0,21:31:56
53,1,2015-08-01 23:31:54,Unknown,6.91916666666667,-1.0,True,False,STILL,True,False,True,False,OFF,No Response,"store,general_contractor,point_of_interest,establishment",Clear,27.0,2.0,0.0,0.0,3.0,238.0,3.0,238.0,8.0,471.0,23:31:54
54,1,2015-08-02 10:31:49,2015-08-02 10:35:29,6.72194444444444,0.0,True,False,STILL,True,False,True,False,OFF,bad,home,Clear,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:31:49
55,1,2015-08-02 16:31:31,2015-08-02 17:01:41,2.8175,0.0,False,True,STILL,False,False,True,False,OFF,no_response,home,Clear,31.5,2.7,15.0,0.0,22.0,1366.0,36.0,2020.0,55.0,2819.0,16:31:31
58,1,2015-08-02 23:31:33,Unknown,0.195,-1.0,False,True,STILL,False,True,True,False,OFF,No Response,home,Clear,30.2,5.3,15.0,0.0,7.0,279.0,17.0,831.0,21.0,958.0,23:31:33
59,1,2015-08-03 10:31:51,2015-08-03 10:36:10,0.275,0.0,False,True,STILL,False,True,True,False,OFF,bad,home,Overcast,16.7,1.7,0.0,0.0,15.0,611.0,18.0,709.0,42.0,2034.0,10:31:51
60,1,2015-08-03 16:31:30,2015-08-03 16:45:12,0.988055555555556,0.0,True,False,STILL,True,True,True,False,OFF,good,work,Clear,23.2,0.7,0.0,0.0,0.0,0.0,2.0,37.0,9.0,361.0,16:31:30
61,1,2015-08-03 18:31:03,Unknown,0.0005555555555555,-1.0,True,False,STILL,True,False,True,False,OFF,No Response,work,Clear,26.3,6.0,0.0,0.0,0.0,0.0,20.0,1593.0,45.0,2832.0,18:31:03
62,1,2015-08-03 21:31:30,2015-08-03 21:31:45,0.0041666666666666,0.0,True,False,STILL,True,True,True,False,OFF,good,home,Clear,27.2,5.8,0.0,0.0,13.0,845.0,23.0,1192.0,38.0,2416.0,21:31:30
63,1,2015-08-03 23:31:42,2015-08-04 00:01:51,1.01222222222222,0.0,True,False,STILL,True,False,True,False,OFF,no_response,"bar,restaurant,food,point_of_interest,establishment",Clear,26.2,6.8,0.0,0.0,9.0,857.0,23.0,1812.0,32.0,2260.0,23:31:42
64,1,2015-08-04 10:31:39,2015-08-04 10:32:03,0.0155555555555556,0.0,False,True,STILL,False,True,True,False,OFF,good,home,Partly Cloudy,11.3,0.0,0.0,0.0,15.0,456.0,21.0,624.0,40.0,1652.0,10:31:39
71,1,2015-08-05 18:32:19,2015-08-05 19:02:44,7.79611111111111,0.0,False,True,STILL,False,True,True,False,OFF,no_response,home,Clear,29.2,4.7,0.0,0.0,7.0,565.0,12.0,779.0,30.0,1745.0,18:32:19
75,1,2015-08-06 16:32:13,2015-08-06 16:32:52,0.0016666666666666,0.0,True,False,STILL,True,True,True,False,OFF,good,work,Clear,22.6,4.0,0.0,0.0,4.0,135.0,14.0,582.0,40.0,3423.0,16:32:13
77,1,2015-08-06 21:31:30,2015-08-06 21:41:02,0.700555555555556,0.0,False,True,STILL,False,True,True,False,OFF,bad,home,Partly Cloudy,26.0,0.0,0.0,0.0,2.0,40.0,7.0,430.0,22.0,1510.0,21:31:30
78,1,2015-08-06 23:31:49,2015-08-06 23:32:10,0.0652777777777778,0.0,False,True,STILL,False,True,True,False,OFF,good,"home_goods_store,store,point_of_interest,establishment",Partly Cloudy,21.9,0.0,0.0,0.0,9.0,392.0,9.0,392.0,31.0,1944.0,23:31:49
79,1,2015-08-07 10:33:05,2015-08-07 10:59:56,0.2325,0.0,False,True,STILL,False,True,True,False,OFF,good,home,Partly Cloudy,9.6,0.0,0.0,0.0,11.0,498.0,19.0,770.0,32.0,1482.0,10:33:05
