,user.index,sugg.decision.utime,sugg.device.since,recognized.activity,dec.location.category,dec.weather.condition,dec.temperature,dec.windspeed,dec.precipitation.chance,dec.snow,jbmins60,jbsteps60,Time of Day
2,1,2015-07-22 21:31:48,0.0216666666666667,STILL,home,Mostly Cloudy,25.8,3.7,0.0,0.0,17.0,473.0,21:31:48
4,1,2015-07-23 09:31:31,7.06222222222222,STILL,home,Clear,11.3,0.0,0.0,0.0,0.0,0.0,09:31:31
8,1,2015-07-23 23:32:54,0.266111111111111,STILL,home,Partly Cloudy,27.5,0.0,0.0,0.0,17.0,743.0,23:32:54
9,1,2015-07-24 09:31:49,6.0125,STILL,home,Clear,16.3,0.0,0.0,0.0,0.0,0.0,09:31:49
13,1,2015-07-24 23:31:40,0.0472222222222222,STILL,home,Clear,32.1,3.7,0.0,0.0,19.0,663.0,23:31:40
17,1,2015-07-25 21:30:58,1.64777777777778,STILL,home,Partly Cloudy,30.5,1.7,35.0,0.0,26.0,983.0,21:30:58
18,1,2015-07-25 23:31:57,0.815555555555556,IN_VEHICLE,"convenience_store,liquor_store,food,store,gas_station,point_of_interest,establishment",Clear,29.4,1.2,15.0,0.0,8.0,225.0,23:31:57
23,1,2015-07-26 23:31:32,1.29666666666667,STILL,home,Partly Cloudy,28.4,0.0,0.0,0.0,3.0,113.0,23:31:32
24,1,2015-07-27 09:31:46,6.945,STILL,home,Clear,14.2,0.0,0.0,0.0,0.0,0.0,09:31:46
25,1,2015-07-27 16:31:55,5.59638888888889,STILL,work,Clear,28.3,3.0,0.0,0.0,4.0,258.0,16:31:55
27,1,2015-07-27 21:31:31,0.424166666666667,STILL,home,Clear,31.3,4.0,0.0,0.0,15.0,605.0,21:31:31
28,1,2015-07-27 23:30:56,0.0647222222222222,ON_FOOT,"restaurant,food,point_of_interest,establishment",Clear,31.3,0.0,0.0,0.0,31.0,3272.0,23:30:56
33,1,2015-07-28 23:31:32,1.26722222222222,STILL,home,Clear,32.2,3.2,0.0,0.0,58.0,4552.0,23:31:32
34,1,2015-07-29 10:31:34,0.0075,STILL,home,Partly Cloudy,16.8,0.0,0.0,0.0,29.0,1178.0,10:31:34
38,1,2015-07-29 23:34:10,2.03527777777778,STILL,home,Clear,30.1,3.7,15.0,0.0,29.0,1433.0,23:34:10
39,1,2015-07-30 10:31:50,0.03,UNKNOWN,home,Clear,16.3,0.0,0.0,0.0,27.0,1206.0,10:31:50
45,1,2015-07-31 16:31:25,0.285555555555556,IN_VEHICLE,"food,store,gas_station,point_of_interest,establishment",Clear,27.8,5.0,0.0,0.0,15.0,856.0,16:31:25
47,1,2015-07-31 21:32:01,4.25833333333333,STILL,home,Clear,30.3,7.3,15.0,0.0,50.0,3167.0,21:32:01
51,1,2015-08-01 18:32:02,1.92138888888889,STILL,"store,point_of_interest,establishment",Mostly Cloudy,28.0,2.0,15.0,0.0,30.0,1268.0,18:32:02
56,1,2015-08-02 18:31:55,0.0002777777777777,STILL,home,Clear,33.5,13.5,15.0,0.0,10.0,301.0,18:31:55
57,1,2015-08-02 21:31:05,0.0166666666666667,STILL,home,Clear,32.9,13.0,15.0,0.0,18.0,652.0,21:31:05
